이름,꽃,주소,위도,경도
우장산공원,"벚꽃 , 제비꽃 , 들꽃 , 매화 , 산수유 , 튤립 , 개나리",서울특별시 강서구 공항대로42길 51-22 ,37.5549578,126.8445754
강서구청사거리,튤립,서울특별시 강서구 공항대로 396 ,37.5558798,126.8510082
서울식물원,"튤립 , 수선화 , 무궁화",서울특별시 강서구 마곡동,37.5707127,126.8298552
궁산공원,"벚꽃 , 돌배나무",서울특별시 강서구 양천로47나길 52-54,37.5741967,126.8407789
개화역길 산책로,"수레국화 , 양귀비 , 벚꽃",서울특별시 강서구 개화동 493-3,37.57391,126.8078
꿩고개근린공원,"벚꽃 , 개나리",서울특별시 강서구 방화동,37.57594,126.8136
난지천공원,"개나리 , 유채꽃",서울특별시 마포구 월드컵로 365,37.57121,126.8874
숙명여대,"이팝나무 , 매화",서울특별시 용산구 청파로47길 100,37.54619,126.9649
효창원로,목련,서울특별시 용산구 효창동,37.54335,126.9611
와우근린공원,벚꽃,서울특별시 마포구 창전동 3-189,37.5527,126.9303
성산근린공원,"아카시아 , 장미 , 벚꽃",서울특별시 마포구 성산동 산11-64,37.56176,126.9112
하늘공원,"개나리 , 핑크뮬리 , 해바라기",서울특별시 마포구 상암동 482,37.56028,126.8868
독립문길,무궁화,서울특별시 서대문구 현저동 941,37.57234,126.9597
인왕산,"개나리 , 진달래 , 산수화 , 산수유",서울특별시 종로구 무악동 산2-1,37.57891,126.9606
안산도시자연공원,"벚꽃 , 허브 , 튤립",서울특별시 서대문구 연희동,37.57154,126.9309
불광천변,"이팝나무 , 벚꽃 , 튤립",서울 마포구 성산동,37.56563,126.9048
삼청공원,"벚꽃 , 때죽나무",서울 종로구 삼청로 156 삼청공원관리실,37.59071,126.9858
물푸레골 치유정원,"장미 , 철쭉 , 수국 , 매화",서울특별시 은평구 진관동,37.64146,126.9342
